source,time,headline,content
Reuters,7 minutes ago,"Stolen data of 600,000 Indians sold on bot markets so far - study","Around five million people globally have had their data stolen and sold on the bot market till date, of which 600,000 are from India, making it the worst affected country, according to one of the world's largest VPN serice providers NordVPN.  Bot markets are used by hackers to sell stolen data from victims' devices with bot malware.  The study by NordVPN, of Lithuania's Nord Security, said the stolen data included user logins, cookies, digital fingerprints, screenshots and other information, with the average price for the digital identity of a person pegged at 490 Indian rupees($5.95)."
Barrons.com,7 minutes ago,Wells Fargo Stock Is Primed to Jump Higher. How to Play It.,"Wells Fargo’s broad ownership among hedge funds and mutual funds is an intriguing revelation, suggesting that January’s earnings report could act as a spring-loaded event."
Bloomberg,14 minutes ago,Hong Kong Stocks Rally on Report City May Relax Covid Rules,"(Bloomberg) -- Hong Kong stocks jumped following a report that the government may further loosen Covid-related restrictions, with shares related to the economy’s reopening surging. Most Read from BloombergPutin Calls Russian Nukes Deterrent Factor, Says War Risk RisingPeru’s President Accused of Coup After Move to Dissolve CongressWhy Did So Many US Men Quit Working? Social Status May Hold the Key, Study SaysBe Careful, Here Come the Predictions for 2023Musk Spars With San Francisco Over Probe o"
Bloomberg,1 hour ago,"Stocks Mixed on China Reopening, Recession Fears: Markets Wrap","(Bloomberg) -- Stocks in Asia fluctuated following signs China would further relax its Covid restrictions, while Treasuries flashed warning signs of recession. The dollar strengthened in an indication of demand for havens.Most Read from BloombergPutin Calls Russian Nukes Deterrent Factor, Says War Risk RisingPeru’s President Accused of Coup After Move to Dissolve CongressWhy Did So Many US Men Quit Working? Social Status May Hold the Key, Study SaysBe Careful, Here Come the Predictions for 2023M"
Investor's Business Daily,3 hours ago,Why This Market Rally Is So Dangerous; Tesla Nears Bear Lows On This Move,"The market rally is holding key levels, but the choppy action is dangerous. Tesla stock fell toward bear market lows amid new China discounts."
Reuters,4 hours ago,"China, Hong Kong stocks lift Asian equities; growth worries loom","Asian equities rose on Thursday, propped up by Hong Kong and China stocks amid growing optimism over an easing of COVID restrictions in the world's second biggest economy even as fears of a slowdown and worries over Fed interest rate rises linger.  MSCI's broadest index of Asia-Pacific shares outside Japan was up 0.57%, on track to snap a two-day losing streak.  China's stock market was 0.14% higher, with Hong Kong's Hang Seng Index surging nearly 3% after a pro-China newspaper reported that Hong Kong government is considering relaxing its COVID-19 curbs further."
Zacks,5 hours ago,Are Options Traders Betting on a Big Move in Peabody (BTU) Stock?,Investors need to pay close attention to Peabody (BTU) stock based on the movements in the options market lately.
Reuters,5 hours ago,FTX founder Sam Bankman-Fried is said to face market manipulation inquiry by U.S. prosecutors - NYT,"The prosecutors are looking into whether Bankman-Fried controlled the prices of two interlinked currencies, TerraUsd and Luna, to benefit the entities he controlled including FTX and Alameda Research, the report said.  The investigation is in its early stages, the newspaper said, adding that it is not clear whether prosecutors have determined any wrongdoing by Bankman-Fried, or when they began looking at the TerraUSD and Luna trades."
Fox Business,6 hours ago,Billionaire Ray Dalio warns stock market hasn't priced in 'very harmful' Fed rate hikes,"Bridgewater Associates founder Ray Dalio said the stock market could face further turmoil in the coming months as the Fed hikes interest rates to a ""harmful"" level."
Bloomberg,7 hours ago,Emerging-Market Debt Is Sliding Into Distress. Just Look at Ghana,"(Bloomberg) -- A few blocks from Ghana’s statehouse in Accra sits a 14.5 acre parcel of prime real estate with a football field-sized hole in the middle of it. What should be emerging from the ground is the frame and sweeping, concave roof of the futuristic 5,000-seat National Cathedral of Ghana. Instead the project has stalled, a victim of an economic crisis in the West African country, which was until recently one of the world’s fastest-growing economies and a magnet for foreign investment.Mos"
